시장,종목코드,종목명,현재가,대비부호,전일대비,매수체결수량,매수체결금액,매도체결수량,매도체결금액,순매수금액,전체거래비중
KOSPI,005930,삼성전자,255000,3,0,15969,921598,12514,722205,199393,+14.53
KOSPI,000660,SK하이닉스,1842000,3,0,1396,247173,2122,376070,-128897,+5.51
KOSPI,402340,SK스퀘어,1212000,3,0,317,27793,413,36225,-8432,+0.57
KOSPI,009150,삼성전기,1277000,3,0,346,39450,247,28133,11317,+0.60
KOSPI,005380,현대차,425000,3,0,321,70401,318,69643,758,+1.24
KOSPI,373220,LG에너지솔루션,334000,3,0,222,93179,123,51675,41504,+1.28
KOSPI,032830,삼성생명,331000,3,0,177,18770,264,28014,-9244,+0.41
KOSPI,207940,삼성바이오로직스,1396000,3,0,63,60388,52,49354,11034,+0.97
KOSPI,105560,KB금융,181100,3,0,1137,111540,1851,181567,-70027,+2.59
KOSPI,000270,기아,149700,3,0,770,74930,831,80803,-5873,+1.38
KOSPI,028260,삼성물산,346000,3,0,380,47036,432,53466,-6430,+0.89
KOSPI,055550,신한지주,107900,3,0,1401,78827,1359,76407,2420,+1.37
KOSPI,329180,HD현대중공업,484000,3,0,89,21483,92,22103,-620,+0.39
KOSPI,012450,한화에어로스페이스,943000,3,0,239,85941,401,144385,-58444,+2.04
KOSPI,034020,두산에너빌리티,69700,3,0,1431,31797,1811,40189,-8392,+0.64
KOSPI,012330,현대모비스,482000,3,0,183,45263,246,60923,-15660,+0.94
KOSPI,034730,SK,580000,3,0,120,17311,88,12757,4554,+0.27
KOSPI,068270,셀트리온,175800,3,0,255,44981,310,54758,-9777,+0.88
KOSPI,086790,하나금융지주,136800,3,0,922,58087,1388,87406,-29319,+1.29
KOSPI,006400,삼성SDI,434500,3,0,282,78504,285,79197,-693,+1.39
KOSPI,000810,삼성화재,701000,3,0,140,52399,192,72066,-19667,+1.10
KOSPI,035420,NAVER,190000,3,0,1780,342858,1637,315401,27457,+5.82
KOSPI,066570,LG전자,179000,3,0,250,23633,425,40099,-16466,+0.56
KOSPI,267260,HD현대일렉트릭,797000,3,0,164,62108,116,43928,18180,+0.94
KOSPI,010120,LS ELECTRIC,190000,3,0,266,38260,190,27499,10761,+0.58
KOSPI,042660,한화오션,86700,3,0,1085,41817,1486,57275,-15458,+0.88
KOSPI,298040,효성중공업,2789000,3,0,70,27885,52,20739,7146,+0.43
KOSPI,009540,HD한국조선해양,354000,3,0,285,60453,142,30378,30075,+0.80
KOSPI,005490,POSCO홀딩스,311500,3,0,259,78176,358,108236,-30060,+1.65
KOSPI,042700,한미반도체,242500,3,0,177,14916,201,16952,-2036,+0.28
KOSPI,316140,우리금융지주,31500,3,0,1812,30535,2160,36386,-5851,+0.59
KOSPI,006800,미래에셋증권,40050,3,0,1028,8775,1726,14719,-5944,+0.21
KOSPI,015760,한국전력,34050,3,0,808,19237,696,16539,2698,+0.32
KOSPI,010130,고려아연,1029000,3,0,54,48589,60,54186,-5597,+0.91
KOSPI,096770,SK이노베이션,121400,3,0,233,28065,160,19132,8933,+0.42
KOSPI,138040,메리츠금융지주,118300,3,0,193,19925,322,33301,-13376,+0.47
KOSPI,010140,삼성중공업,22300,3,0,2620,31336,4805,57587,-26251,+0.79
KOSPI,000150,두산,1202000,3,0,41,8740,81,17463,-8723,+0.23
KOSPI,017670,SK텔레콤,89700,3,0,472,26800,575,32636,-5836,+0.53
KOSPI,011200,HMM,20050,3,0,1438,27131,745,14055,13076,+0.36
KOSPI,033780,KT&G,179900,3,0,403,47623,618,73147,-25524,+1.07
KOSPI,051910,LG화학,260500,3,0,109,33405,151,46503,-13098,+0.71
KOSPI,064350,현대로템,159000,3,0,5985,360074,5820,351030,9044,+6.29
KOSPI,024110,기업은행,21600,3,0,1110,16294,1549,22744,-6450,+0.35
KOSPI,079550,LIG디펜스앤에어로스페이스,749000,3,0,66,14612,69,15486,-874,+0.27
KOSPI,010950,S-Oil,144900,3,0,122,7162,161,9449,-2287,+0.15
KOSPI,267250,HD현대,204500,3,0,165,13306,172,13826,-520,+0.24
KOSPI,035720,카카오,35900,3,0,555,20056,573,20699,-643,+0.36
KOSPI,011070,LG이노텍,668000,3,0,87,14864,78,13364,1500,+0.25
KOSPI,018260,삼성에스디에스,199300,3,0,88,13117,122,18185,-5068,+0.28
KOSPI,003550,LG,98800,3,0,251,19269,245,18836,433,+0.34
KOSPI,278470,에이피알,393000,3,0,117,6273,74,3969,2304,+0.09
KOSPI,047810,한국항공우주,149200,3,0,335,20852,538,33593,-12741,+0.48
KOSPI,086280,현대글로비스,188600,3,0,129,15822,135,16611,-789,+0.29
KOSPI,030200,KT,52400,3,0,118,5290,171,7649,-2359,+0.11
KOSPI,003670,포스코퓨처엠,147600,3,0,114,21264,102,18987,2277,+0.36
KOSPI,071050,한국금융지주,229000,3,0,137,10035,186,13620,-3585,+0.21
KOSPI,272210,한화시스템,65500,3,0,950,24282,1351,34859,-10577,+0.52
KOSPI,005940,NH투자증권,31000,3,0,464,6206,681,9091,-2885,+0.14
KOSPI,259960,크래프톤,240500,3,0,62,19125,62,18918,207,+0.34
KOSPI,000720,현대건설,99000,3,0,6232,171934,7229,199840,-27906,+3.29
KOSPI,323410,카카오뱅크,23000,3,0,415,8976,345,7462,1514,+0.15
KOSPI,307950,현대오토에버,393000,3,0,11,1520,13,1805,-285,+0.03
KOSPI,005830,DB손해보험,163000,3,0,211,23104,199,21810,1294,+0.40
KOSPI,003490,대한항공,26500,3,0,613,14864,770,18659,-3795,+0.30
KOSPI,016360,삼성증권,107700,3,0,143,6613,173,7991,-1378,+0.13
KOSPI,161390,한국타이어앤테크놀로지,73600,3,0,309,11878,267,10226,1652,+0.20
KOSPI,443060,HD현대마린솔루션,201000,3,0,46,6812,21,3116,3696,+0.09
KOSPI,352820,하이브,208500,3,0,85,18218,61,13222,4996,+0.28
KOSPI,006260,LS,288000,3,0,80,7314,62,5619,1695,+0.11
KOSPI,047050,포스코인터내셔널,50900,3,0,277,14271,145,7519,6752,+0.19
KOSPI,039490,키움증권,322000,3,0,19,2419,22,2749,-330,+0.05
KOSPI,003230,삼양식품,1069000,3,0,7,3613,30,15822,-12209,+0.17
KOSPI,028050,삼성E&A,40850,3,0,875,16444,802,15079,1365,+0.28
KOSPI,078930,GS,82800,3,0,198,8329,234,9795,-1466,+0.16
KOSPI,180640,한진칼,113500,3,0,94,7294,101,7803,-509,+0.13
KOSPI,090430,아모레퍼시픽,124400,3,0,97,10630,141,15428,-4798,+0.23
KOSPI,021240,코웨이,96700,3,0,354,22423,379,24035,-1612,+0.41
KOSPI,353200,대덕전자,138000,3,0,121,1903,39,618,1285,+0.02
KOSPI,007660,이수페타시스,92000,3,0,298,6929,141,3281,3648,+0.09
KOSPI,000880,한화,93200,3,0,129,3704,129,3709,-5,+0.07
KOSPI,267270,HD건설기계,130300,3,0,44,2747,52,3273,-526,+0.05
KOSPI,047040,대우건설,15150,3,0,354,1305,128,472,833,+0.02
KOSPI,326030,SK바이오팜,79400,3,0,139,13819,156,15647,-1828,+0.26
KOSPI,032640,LG유플러스,14620,3,0,2032,22837,1595,17909,4928,+0.36
KOSPI,241560,두산밥캣,64300,3,0,338,12911,312,11918,993,+0.22
KOSPI,138930,BNK금융지주,18330,3,0,694,6911,554,5518,1393,+0.11
KOSPI,000100,유한양행,70800,3,0,625,73884,521,61819,12065,+1.20
KOSPI,004170,신세계,589000,3,0,16,2100,14,1834,266,+0.03
KOSPI,377300,카카오페이,40900,3,0,666,15646,568,13347,2299,+0.26
KOSPI,029780,삼성카드,47050,3,0,14,597,37,1553,-956,+0.02
KOSPI,001440,대한전선,27700,3,0,972,11440,484,5769,5671,+0.15
KOSPI,034220,LG디스플레이,10410,3,0,1000,9891,951,9399,492,+0.17
KOSPI,062040,산일전기,170000,3,0,145,8421,131,7575,846,+0.14
KOSPI,175330,JB금융지주,27400,3,0,200,3716,280,5180,-1464,+0.08
KOSPI,271560,오리온,128400,3,0,83,8331,133,13346,-5015,+0.19
KOSPI,128940,한미약품,386000,3,0,40,11216,39,10802,414,+0.19
KOSPI,088980,맥쿼리인프라,10190,3,0,212,2394,639,7222,-4828,+0.09
KOSPI,036570,NC,223000,3,0,65,14245,60,13175,1070,+0.24
KOSPI,000990,DB하이텍,109600,3,0,104,3472,89,2976,496,+0.06
KOSPI,009830,한화솔루션,27600,3,0,10620,180475,10565,179465,1010,+3.18
KOSPI,454910,두산로보틱스,67000,3,0,54,3701,32,2231,1470,+0.05
KOSPI,011790,SKC,85200,3,0,78,8864,153,17322,-8458,+0.23
KOSPI,023530,롯데쇼핑,140800,3,0,18,1025,38,2190,-1165,+0.03
KOSPI,001040,CJ,135700,3,0,39,3846,34,3315,531,+0.06
KOSPI,088350,한화생명,4540,3,0,235,647,429,1181,-534,+0.02
KOSPI,082740,한화엔진,46900,3,0,760,13368,720,12663,705,+0.23
KOSPI,111770,영원무역,86900,3,0,10,383,23,877,-494,+0.01
KOSPI,066970,엘앤에프,92000,3,0,204,22661,108,12096,10565,+0.31
KOSPI,051900,LG생활건강,246500,3,0,55,18171,41,13457,4714,+0.28
KOSPI,010060,OCI홀딩스,194300,3,0,28,1725,19,1128,597,+0.03
KOSPI,002380,KCC,420000,3,0,12,2917,18,4237,-1320,+0.06
KOSPI,018880,한온시스템,3490,3,0,530,2219,171,711,1508,+0.03
KOSPI,052690,한전기술,92700,3,0,35,2519,22,1558,961,+0.04
KOSPI,004020,현대제철,26550,3,0,6366,134470,7426,157231,-22761,+2.58
KOSPI,069960,현대백화점,157400,3,0,27,1154,29,1261,-107,+0.02
KOSPI,001450,현대해상,38300,3,0,242,6809,261,7350,-541,+0.13
KOSPI,000500,가온전선,196700,3,0,209,8914,246,10416,-1502,+0.17
KOSPI,011780,금호석유화학,123500,3,0,135,14472,128,13666,806,+0.25
KOSPI,035250,강원랜드,14410,3,0,155,2672,282,4879,-2207,+0.07
KOSPI,383220,F&F,79000,3,0,12,621,20,1013,-392,+0.01
KOSPI,036460,한국가스공사,32400,3,0,241,11436,195,9232,2204,+0.18
KOSPI,251270,넷마블,36300,3,0,103,5392,59,3078,2314,+0.07
KOSPI,336260,두산퓨얼셀,44550,3,0,413,6832,148,2481,4351,+0.08
KOSPI,139130,iM금융지주,18410,3,0,276,2360,168,1440,920,+0.03
KOSPI,103590,일진전기,59500,3,0,165,3638,203,4501,-863,+0.07
KOSPI,022100,포스코DX,18630,3,0,318,7198,141,3202,3996,+0.09
KOSPI,097950,CJ제일제당,184800,3,0,35,9409,44,11855,-2446,+0.19
KOSPI,302440,SK바이오사이언스,35450,3,0,89,4425,54,2701,1724,+0.06
KOSPI,028670,팬오션,5160,3,0,854,3097,806,2920,177,+0.05
KOSPI,009420,한올바이오파마,52800,3,0,176,6290,280,9972,-3682,+0.14
KOSPI,012750,에스원,72100,3,0,12,738,15,912,-174,+0.01
KOSPI,017800,현대엘리베이터,68900,3,0,49,2577,54,2811,-234,+0.05
KOSPI,014680,한솔케미칼,244500,3,0,21,2291,24,2600,-309,+0.04
KOSPI,011170,롯데케미칼,61000,3,0,130,8758,54,3608,5150,+0.11
KOSPI,450080,에코프로머티,36500,3,0,105,10005,120,11293,-1288,+0.19
KOSPI,005440,현대지에프홀딩스,13950,3,0,15,74,18,87,-13,+0.00
KOSPI,026960,동서,25500,3,0,47,1270,34,910,360,+0.02
KOSPI,161890,한국콜마,107600,3,0,36,1949,39,2133,-184,+0.04
KOSPI,005850,에스엘,54400,3,0,15,473,28,873,-400,+0.01
KOSPI,081660,미스토홀딩스,46950,3,0,58,2329,43,1701,628,+0.04
KOSPI,009970,영원무역홀딩스,191200,3,0,9,727,13,1095,-368,+0.02
KOSPI,001720,신영증권,149400,3,0,0,28,1,107,-79,+0.00
KOSPI,003690,코리안리,13660,3,0,89,703,68,534,169,+0.01
KOSPI,000240,한국앤컴퍼니,25250,3,0,25,427,18,309,118,+0.01
KOSPI,004800,효성,143100,3,0,15,683,17,755,-72,+0.01
KOSPI,007340,DN오토모티브,40800,3,0,15,269,44,794,-525,+0.01
KOSPI,006360,GS건설,27300,3,0,432,8236,130,2480,5756,+0.09
KOSPI,375500,DL이앤씨,60200,3,0,99,3205,43,1383,1822,+0.04
KOSPI,489790,한화비전,45800,3,0,208,8149,241,9414,-1265,+0.16
KOSPI,004990,롯데지주,22800,3,0,37,768,32,669,99,+0.01
KOSPI,085620,미래에셋생명,16760,3,0,3,14,10,55,-41,+0.00
KOSPI,008930,한미사이언스,32700,3,0,133,4467,52,1746,2721,+0.05
KOSPI,007070,GS리테일,26400,3,0,134,3063,61,1400,1663,+0.04
KOSPI,139480,이마트,79700,3,0,67,4259,28,1769,2490,+0.05
KOSPI,282330,BGF리테일,126400,3,0,10,1038,6,606,432,+0.01
KOSPI,030000,제일기획,18610,3,0,80,1453,84,1528,-75,+0.03
KOSPI,004370,농심,349500,3,0,6,1885,3,1056,829,+0.03
KOSPI,204320,HL만도,44800,3,0,127,5270,181,7472,-2202,+0.11
KOSPI,192820,코스맥스,181100,3,0,23,3060,22,2898,162,+0.05
KOSPI,018670,SK가스,222000,3,0,2,482,4,797,-315,+0.01
KOSPI,281820,케이씨텍,100800,3,0,40,1271,21,663,608,+0.02
KOSPI,051600,한전KPS,43550,3,0,62,2900,79,3692,-792,+0.06
KOSPI,071970,HD현대마린엔진,57600,3,0,334,6928,111,2303,4625,+0.08
KOSPI,002790,아모레퍼시픽홀딩스,25000,3,0,59,1331,52,1176,155,+0.02
KOSPI,462870,시프트업,32450,3,0,66,3455,20,1036,2419,+0.04
KOSPI,008770,호텔신라,47800,3,0,63,2497,25,1003,1494,+0.03
KOSPI,475150,SK이터닉스,52000,3,0,136,1904,39,551,1353,+0.02
KOSPI,457190,이수스페셜티케미컬,58500,3,0,36,1308,54,1977,-669,+0.03
KOSPI,103140,풍산,62100,3,0,65,3688,73,4151,-463,+0.07
KOSPI,395400,SK리츠,5650,3,0,183,874,26,123,751,+0.01
KOSPI,020150,롯데에너지머티리얼즈,32250,3,0,55,1480,29,777,703,+0.02
KOSPI,007810,코리아써키트,70300,3,0,35,285,3,27,258,+0.00
KOSPI,112610,씨에스윈드,39850,3,0,94,3857,89,3624,233,+0.07
KOSPI,073240,금호타이어,5850,3,0,226,1011,205,913,98,+0.02
KOSPI,000120,CJ대한통운,72500,3,0,18,1450,19,1517,-67,+0.03
KOSPI,120110,코오롱인더,53600,3,0,44,1276,33,970,306,+0.02
KOSPI,001740,SK네트웍스,7990,3,0,228,1015,395,1753,-738,+0.02
KOSPI,001800,오리온홀딩스,26050,3,0,28,448,41,667,-219,+0.01
KOSPI,011210,현대위아,57600,3,0,39,1657,24,1035,622,+0.02
KOSPI,023590,다우기술,35650,3,0,6,115,6,116,-1,+0.00
KOSPI,006040,동원산업,33350,3,0,5,166,1,28,138,+0.00
KOSPI,020560,아시아나항공,7080,3,0,62,659,25,269,390,+0.01
KOSPI,006280,녹십자,122800,3,0,12,1612,10,1372,240,+0.03
KOSPI,001120,LX인터내셔널,36800,3,0,59,1673,48,1357,316,+0.03
KOSPI,069620,대웅제약,121900,3,0,16,1976,11,1344,632,+0.03
KOSPI,097230,HJ중공업,15560,3,0,628,2697,500,2166,531,+0.04
KOSPI,089860,롯데렌탈,36750,3,0,8,225,21,603,-378,+0.01
KOSPI,229640,LS에코에너지,43050,3,0,103,2482,104,2530,-48,+0.04
KOSPI,192080,더블유게임즈,61600,3,0,7,338,13,625,-287,+0.01
KOSPI,007310,오뚜기,313000,3,0,1,516,1,413,103,+0.01
KOSPI,093370,후성,11690,3,0,121,688,65,368,320,+0.01
KOSPI,005070,코스모신소재,37500,3,0,1821,121292,2037,135575,-14283,+2.27
KOSPI,322000,HD현대에너지솔루션,110100,3,0,19,381,11,221,160,+0.01
KOSPI,003540,대신증권,25850,3,0,16,270,21,346,-76,+0.01
KOSPI,181710,NHN,37400,3,0,224,3678,290,4790,-1112,+0.07
KOSPI,012630,HDC,20400,3,0,20,234,26,307,-73,+0.00
KOSPI,017960,한국카본,23450,3,0,603,6880,930,10632,-3752,+0.15
KOSPI,298020,효성티앤씨,278000,3,0,42,8486,13,2581,5905,+0.10
KOSPI,082640,동양생명,7670,3,0,37,217,60,350,-133,+0.01
KOSPI,294870,IPARK현대산업개발,18030,3,0,178,3651,150,3078,573,+0.06
KOSPI,004000,롯데정밀화학,45650,3,0,34,1225,29,1029,196,+0.02
KOSPI,361610,SK아이이테크놀로지,14260,3,0,85,2380,66,1868,512,+0.04
KOSPI,001430,세아베스틸지주,32500,3,0,20,417,20,420,-3,+0.01
KOSPI,003570,SNT다이내믹스,34550,3,0,53,1174,36,809,365,+0.02
KOSPI,030610,교보증권,9740,3,0,2,13,4,24,-11,+0.00
KOSPI,000080,하이트진로,14910,3,0,20,423,35,731,-308,+0.01
KOSPI,300720,한일시멘트,13990,3,0,15,205,45,621,-416,+0.01
KOSPI,077970,STX엔진,25000,3,0,223,4849,151,3291,1558,+0.07
KOSPI,330590,롯데리츠,3435,3,0,293,962,238,778,184,+0.02
KOSPI,003090,대웅,16840,3,0,12,244,20,416,-172,+0.01
KOSPI,000210,DL,46450,3,0,23,819,20,717,102,+0.01
KOSPI,195870,해성디에스,56800,3,0,153,3444,211,4769,-1325,+0.07
KOSPI,003240,태광산업,866000,3,0,3,1779,6,3626,-1847,+0.05
KOSPI,003530,한화투자증권,4480,3,0,175,653,189,705,-52,+0.01
KOSPI,006340,대원전선,12230,3,0,831,2289,347,965,1324,+0.03
KOSPI,006120,SK디스커버리,54500,3,0,7,261,6,229,32,+0.00
KOSPI,034230,파라다이스,10190,3,0,50,490,23,230,260,+0.01
KOSPI,185750,종근당,68300,3,0,15,1423,9,812,611,+0.02
KOSPI,280360,롯데웰푸드,101000,3,0,6,625,7,797,-172,+0.01
KOSPI,005300,롯데칠성,99400,3,0,3,378,6,675,-297,+0.01
KOSPI,032350,롯데관광개발,11560,3,0,153,1336,59,525,811,+0.02
KOSPI,192400,쿠쿠홀딩스,25550,3,0,2,56,3,76,-20,+0.00
KOSPI,001820,삼화콘덴서,87000,3,0,7,181,4,101,80,+0.00
KOSPI,009450,경동나비엔,62000,3,0,57,4423,59,4635,-212,+0.08
KOSPI,003470,유안타증권,4505,3,0,24,66,23,65,1,+0.00
KOSPI,036530,SNT홀딩스,52000,3,0,3,58,1,26,32,+0.00
KOSPI,100090,SK오션플랜트,13340,3,0,147,1717,42,490,1227,+0.02
KOSPI,009240,한샘,35400,3,0,13,669,7,343,326,+0.01
KOSPI,451800,한화리츠,4625,3,0,22,81,8,30,51,+0.00
KOSPI,030190,NICE평가정보,13940,3,0,22,253,30,351,-98,+0.01
KOSPI,456040,OCI,89800,3,0,6,412,10,617,-205,+0.01
KOSPI,365550,ESR켄달스퀘어리츠,3185,3,0,41,201,36,177,24,+0.00
KOSPI,000400,롯데손해보험,2490,3,0,143,286,36,71,215,+0.00
KOSPI,004490,세방전지,55000,3,0,14,900,26,1731,-831,+0.02
KOSPI,137310,에스디바이오센서,6300,3,0,65,661,91,921,-260,+0.01
KOSPI,071320,지역난방공사,64800,3,0,15,793,4,200,593,+0.01
KOSPI,214320,이노션,18300,3,0,12,245,12,229,16,+0.00
KOSPI,079160,CJ CGV,4375,3,0,193,1037,94,510,527,+0.01
KOSPI,003850,보령,8300,3,0,20,206,16,157,49,+0.00
KOSPI,000370,한화손해보험,6090,3,0,28,126,96,437,-311,+0.00
KOSPI,248070,솔루엠,14810,3,0,59,1172,50,988,184,+0.02
KOSPI,075580,세진중공업,12170,3,0,329,2778,514,4338,-1560,+0.06
KOSPI,006650,대한유화,105400,3,0,7,623,9,780,-157,+0.01
KOSPI,064960,SNT모티브,25750,3,0,2,82,3,119,-37,+0.00
KOSPI,285130,SK케미칼,39250,3,0,7,282,11,465,-183,+0.01
KOSPI,298050,HS효성첨단소재,150500,3,0,33,5587,26,4421,1166,+0.09
KOSPI,000670,영풍,36400,3,0,8,3236,9,3684,-448,+0.06
KOSPI,005690,파미셀,11090,3,0,300,1496,412,2101,-605,+0.03
KOSPI,002350,넥센타이어,6750,3,0,17,108,28,175,-67,+0.00
KOSPI,002960,한국쉘석유,501000,3,0,0,23,1,270,-247,+0.00
KOSPI,093050,LF,22200,3,0,4,55,7,111,-56,+0.00
KOSPI,025540,한국단자,64100,3,0,3,235,7,461,-226,+0.01
KOSPI,108320,LX세미콘,39250,3,0,10,590,51,2961,-2371,+0.03
KOSPI,001570,금양,9900,3,0,3153,90738,3294,94948,-4210,+1.64
KOSPI,069260,TKG휴켐스,15450,3,0,12,227,11,197,30,+0.00
KOSPI,293940,신한알파리츠,5170,3,0,35,199,29,166,33,+0.00
KOSPI,003160,디아이,21250,3,0,158,2013,208,2665,-652,+0.04
KOSPI,005180,빙그레,64700,3,0,37,2485,114,7667,-5182,+0.09
KOSPI,005880,대한해운,1856,3,0,357,642,83,149,493,+0.01
KOSPI,453340,현대그린푸드,18430,3,0,16,211,12,154,57,+0.00
KOSPI,090460,비에이치,17740,3,0,108,1756,62,1012,744,+0.02
KOSPI,001680,대상,17260,3,0,14,292,30,615,-323,+0.01
KOSPI,017940,E1,87100,3,0,5,337,1,78,259,+0.00
KOSPI,002840,미원상사,123900,3,0,1,204,1,142,62,+0.00
KOSPI,383800,LX홀딩스,7670,3,0,576,3946,980,6717,-2771,+0.09
KOSPI,007700,F&F홀딩스,14800,3,0,1,9,0,5,4,+0.00
KOSPI,003620,KG모빌리티,2860,3,0,159,650,60,248,402,+0.01
KOSPI,114090,GKL,9330,3,0,214,2441,75,863,1578,+0.03
KOSPI,014820,동원시스템즈,19680,3,0,8,355,11,498,-143,+0.01
KOSPI,001060,JW중외제약,24250,3,0,37,906,23,547,359,+0.01
KOSPI,268280,미원에스씨,112200,3,0,0,8,0,1,7,+0.00
KOSPI,010780,아이에스동서,18510,3,0,14,290,22,467,-177,+0.01
KOSPI,001270,부국증권,53800,3,0,0,3,0,2,1,+0.00
KOSPI,178920,PI첨단소재,18990,3,0,22,386,24,414,-28,+0.01
KOSPI,005090,SGC에너지,38500,3,0,4,113,3,79,34,+0.00
KOSPI,000640,동아쏘시오홀딩스,81900,3,0,3,358,4,460,-102,+0.01
KOSPI,006110,삼아알미늄,35800,3,0,12,502,10,396,106,+0.01
KOSPI,033240,자화전자,24850,3,0,219,2846,306,3979,-1133,+0.06
KOSPI,001510,SK증권,2260,3,0,30,15,44,22,-7,+0.00
KOSPI,003300,한일홀딩스,16780,3,0,1,8,2,21,-13,+0.00
KOSPI,100840,SNT에너지,24750,3,0,97,1823,179,3351,-1528,+0.05
KOSPI,016380,KG스틸,5110,3,0,69,438,41,262,176,+0.01
KOSPI,336370,솔루스첨단소재,7200,3,0,60,570,33,310,260,+0.01
KOSPI,058650,세아홀딩스,118300,3,0,0,0,0,1,-1,+0.00
KOSPI,001500,현대차증권,8040,3,0,2,17,3,26,-9,+0.00
KOSPI,448730,삼성FN리츠,5330,3,0,20,91,26,121,-30,+0.00
KOSPI,005810,풍산홀딩스,33500,3,0,1,14,3,87,-73,+0.00
KOSPI,377740,바이오노트,4700,3,0,20,95,6,26,69,+0.00
KOSPI,284740,쿠쿠홈시스,21250,3,0,3,65,6,131,-66,+0.00
KOSPI,009410,태영건설,1602,3,0,1,2,4,12,-10,+0.00
KOSPI,039130,하나투어,30200,3,0,32,1850,32,1830,20,+0.03
KOSPI,079900,전진건설로봇,31950,3,0,339,10031,165,4863,5168,+0.13
KOSPI,145990,삼양사,45200,3,0,1,32,0,13,19,+0.00
KOSPI,020000,한섬,21650,3,0,5,72,7,99,-27,+0.00
KOSPI,002240,고려제강,17090,3,0,2,37,1,24,13,+0.00
KOSPI,008060,대덕,14620,3,0,3,22,3,20,2,+0.00
KOSPI,005250,녹십자홀딩스,9630,3,0,16,241,10,143,98,+0.00
KOSPI,249420,일동제약,14230,3,0,9,106,2,23,83,+0.00
KOSPI,161000,애경케미칼,9030,3,0,269,2292,319,2716,-424,+0.04
KOSPI,034310,NICE,11940,3,0,6,64,2,24,40,+0.00
KOSPI,000070,삼양홀딩스,56400,3,0,1,42,2,136,-94,+0.00
KOSPI,002020,코오롱,33850,3,0,1,9,1,15,-6,+0.00
KOSPI,003280,흥아해운,1783,3,0,559,1016,69,125,891,+0.01
KOSPI,460860,동국제강,8580,3,0,43,358,34,286,72,+0.01
KOSPI,014830,유니드,62600,3,0,66,4427,84,5630,-1203,+0.09
KOSPI,019170,신풍제약,8040,3,0,62,691,19,211,480,+0.01
KOSPI,004700,조광피혁,63000,3,0,0,2,0,2,0,+0.00
KOSPI,072710,농심홀딩스,89900,3,0,0,32,0,33,-1,+0.00
KOSPI,004690,삼천리,114400,3,0,8,696,1,109,587,+0.01
KOSPI,001200,유진투자증권,4280,3,0,326,999,111,341,658,+0.01
KOSPI,003030,세아제강지주,99600,3,0,1,221,4,620,-399,+0.01
KOSPI,031430,신세계인터내셔날,11700,3,0,193,2014,260,2719,-705,+0.04
KOSPI,029530,신도리코,41900,3,0,2,73,2,89,-16,+0.00
KOSPI,002990,금호건설,10900,3,0,25,75,37,108,-33,+0.00
KOSPI,417310,코람코더원리츠,9940,3,0,5,22,6,28,-6,+0.00
KOSPI,004710,한솔테크닉스,9720,3,0,3,12,1,3,9,+0.00
KOSPI,016610,DB증권,9240,3,0,7,33,18,89,-56,+0.00
KOSPI,002810,삼영무역,21050,3,0,1,12,1,16,-4,+0.00
KOSPI,015360,INVENI,14250,3,0,2,78,1,57,21,+0.00
KOSPI,357120,코람코라이프인프라리츠,3965,3,0,102,457,28,128,329,+0.01
KOSPI,452260,한화갤러리아,1990,3,0,43,51,17,20,31,+0.00
KOSPI,003000,부광약품,3905,3,0,32,147,3,15,132,+0.00
KOSPI,016590,신대양제지,9430,3,0,1,5,6,36,-31,+0.00
KOSPI,105630,한세실업,9500,3,0,19,273,24,343,-70,+0.01
KOSPI,002030,아세아,184300,3,0,0,26,0,23,3,+0.00
KOSPI,027410,BGF,3945,3,0,5,19,5,18,1,+0.00
KOSPI,403550,쏘카,9920,3,0,0,6,1,16,-10,+0.00
KOSPI,381970,케이카,7540,3,0,8,100,12,149,-49,+0.00
KOSPI,009900,명신산업,7000,3,0,96,1143,59,703,440,+0.02
KOSPI,006220,제주은행,9660,3,0,36,295,7,58,237,+0.00
KOSPI,092230,KPX홀딩스,86300,3,0,0,9,0,3,6,+0.00
KOSPI,271940,일진하이솔루스,10000,3,0,10,185,6,115,70,+0.00
KOSPI,344820,KCC글라스,22600,3,0,6,219,4,167,52,+0.00
KOSPI,005420,코스모화학,9380,3,0,71,1275,44,796,479,+0.02
KOSPI,306200,세아제강,126400,3,0,0,30,0,40,-10,+0.00
KOSPI,001940,KISCO홀딩스,25100,3,0,0,7,0,1,6,+0.00
KOSPI,007690,국도화학,38050,3,0,1,16,0,13,3,+0.00
KOSPI,170900,동아에스티,35950,3,0,13,791,4,232,559,+0.01
KOSPI,130660,한전산업,10700,3,0,36,441,22,266,175,+0.01
KOSPI,145720,덴티움,40250,3,0,32,1819,13,770,1049,+0.02
KOSPI,060980,HL홀딩스,37850,3,0,1,38,5,181,-143,+0.00
KOSPI,194370,제이에스코퍼레이션,11760,3,0,13,185,23,332,-147,+0.00
KOSPI,005950,이수화학,12930,3,0,28,193,6,38,155,+0.00
KOSPI,104700,한국철강,9290,3,0,5,47,2,21,26,+0.00
KOSPI,017810,풀무원,8880,3,0,22,252,18,205,47,+0.00
KOSPI,089590,제주항공,4195,3,0,57,526,17,155,371,+0.01
KOSPI,017900,광전자,5810,3,0,14,24,1,1,23,+0.00
KOSPI,008730,율촌화학,13480,3,0,9,214,9,224,-10,+0.00
KOSPI,037710,광주신세계,43350,3,0,0,14,0,2,12,+0.00
